quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,index_right,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,avg_d_mbps,avg_u_mbps
1231221323230302,64111,28638,26,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",64.111,28.638
1231221323230320,62889,7869,23,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",62.889,7.869
1231221323230323,106526,44807,47,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",106.526,44.807
1231221323231012,3064,287,34,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",3.064,0.287
1231221323231020,12474,7588,111,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",12.474,7.588
1231221323231322,16,28,50,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.016,0.028
1231221323303221,2908,5996,19,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",2.908,5.996
1231221323312222,8724,3700,58,2,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",8.724,3.7
1231221323320210,11551,2649,56,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",11.551,2.649
1231221323323303,140057,66607,28,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",140.057,66.607
1231221323323333,631,323,38,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.631,0.323
1231222030313103,203883,21826,30,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,203.883,21.826
1231222030313120,37418,2751,31,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,37.418,2.751
1231222031133331,552604,15494,31,2,2,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,552.604,15.494
1231222031202020,111610,1337,31,2,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,111.61,1.337
1231222031211323,101417,13613,33,2,2,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,101.417,13.613
